Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,People_Tested,Mortality_Rate
Alabama,US,2021-03-08 05:31:09,32.3182,-86.9023,499819,10148,,,1.0,10193.761809925589,2323788.0,,2.0303349812632168,84000001.0,USA,47393.43916250357,,,
Alaska,US,2021-03-08 05:31:09,61.3707,-152.4044,59285,305,,,2.0,8104.081088654832,1731628.0,,0.5144640296871047,84000002.0,USA,236708.3364659727,,,
American Samoa,US,2021-03-08 05:31:09,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,,,
Arizona,US,2021-03-08 05:31:09,33.7298,-111.4312,826454,16328,,,4.0,11354.391165366094,7908105.0,,1.9756695472464287,84000004.0,USA,52797.01079187445,,,
Arkansas,US,2021-03-08 05:31:09,34.9697,-92.3731,324818,5319,,,5.0,10763.389537557774,2736442.0,,1.6375324027609308,84000005.0,USA,90676.59795003252,,,
California,US,2021-03-08 05:31:09,36.1162,-119.6816,3599250,54220,,,6.0,9109.206535911684,49646014.0,,1.5064249496422866,84000006.0,USA,125647.23073161436,,,
Colorado,US,2021-03-08 05:31:09,39.0598,-105.3111,436612,5990,,,8.0,7581.733213677447,6415123.0,,1.3719274779438035,84000008.0,USA,111398.10889056211,,,
Connecticut,US,2021-03-08 05:31:09,41.5978,-72.7554,285330,7704,,,9.0,8003.002282845672,6520366.0,,2.700031542424561,84000009.0,USA,182884.7439210364,,,
Delaware,US,2021-03-08 05:31:09,39.3185,-75.5071,88354,1473,,,10.0,9073.45106206432,1431942.0,,1.667157117957308,84000010.0,USA,147052.263176704,,,
Diamond Princess,US,2021-03-08 05:31:09,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,,
District of Columbia,US,2021-03-08 05:31:09,38.8974,-77.0268,41419,1030,,,11.0,5868.800380871953,1261363.0,,2.486781428812864,84000011.0,USA,178726.85614857406,,,
Florida,US,2021-03-08 05:31:09,27.7663,-81.6868,1944995,31683,,,12.0,9055.865615637253,22339182.0,,1.62895020295682,84000012.0,USA,104010.87414377036,,,
Georgia,US,2021-03-08 05:31:09,33.0406,-83.6431,1023487,17906,,,13.0,9639.69317225093,7359069.0,,1.7495092756429735,84000013.0,USA,69311.25377598689,,,
Grand Princess,US,2021-03-08 05:31:09,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,,,
Guam,US,2021-03-08 05:31:09,13.4443,144.7937,7749,133,,,66.0,4718.411486400088,120636.0,,1.7163504968383017,316.0,GUM,73455.9669729463,,,
Hawaii,US,2021-03-08 05:31:09,21.0943,-157.4983,28746,445,,,15.0,1985.1370745378117,1146796.0,,1.5796776603693032,84000015.0,USA,80995.73972788501,,,
